type,CpdID,hit,SMILES
FDA-approved,,,CC[C@@H](NC(=O)N1C(=O)C(Cc2cc(C)nc(N)c2)C1C(=O)N(C)c1ccn(C)n1)c1cccc(C)c1
FDA-approved,,,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1
FDA-approved,,,Cc1ccc2c(c1)c(/C=C/c1cc[n+](C)cc1)c(C)n2C
FDA-approved,,,COc1cccc2sc(Nc3nnc(-c4cccs4)o3)nc12
FDA-approved,,,Nc1nc(=O)c2c([nH]1)NC[C@H](CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2C=O
FDA-approved,,,CC(C)(C)NC(=O)C1CN(Cc2cccnc2)CCN1C[C@@H](O)CC(Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O
FDA-approved,,,Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2CC1C(=O)NC(C)(C)C
FDA-approved,,,CC(C)(C)NC(=O)C1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1
FDA-approved,,,CCC[C@@]1(CCc2ccccc2)CC(=O)C([C@H](CC)c2cccc(NS(=O)(=O)c3ccc(C(F)(F)F)cn3)c2)C(=O)O1
FDA-approved,,,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1
FDA-approved,,,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)C(C(C)C)N1CCCNC1=O
FDA-approved,,,CCC(c1ccccc1)c1c(O)c2ccccc2oc1=O
FDA-approved,,,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1
FDA-approved,,,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1
FDA-approved,,,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1
FDA-approved,,,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl
FDA-approved,,,C=c1[nH]c(=Cc2c(O)[nH]c3ccc(F)cc23)c(C)c1C(=O)NCCN(CC)CC
FDA-approved,,,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1N=C(N)N
FDA-approved,,,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1
FDA-approved,,,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1
FDA-approved,,,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
FDA-approved,,,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1
FDA-approved,,,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O
FDA-approved,,,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1
FDA-approved,,,O=C(NC[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1
FDA-approved,,,NCCc1c[nH]cn1
FDA-approved,,,NCCS
FDA-approved,,,NCCO
FDA-approved,,,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1
FDA-approved,,,CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1
FDA-approved,,,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl
FDA-approved,,,C[C@]12CC[C@H]3[C@@H](CC=C4CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O
FDA-approved,,,CC(=O)C1CC[C@H]2[C@@H]3CC=C4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
FDA-approved,,,CCN(CC)C(C)CN1c2ccccc2Sc2ccccc21
FDA-approved,,,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2
FDA-approved,,,Nc1c2c(nc3ccccc13)CCCC2
FDA-approved,,,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O
FDA-approved,,,CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1
FDA-approved,,,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2
FDA-approved,,,Nc1ccncc1
FDA-approved,,,CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1
FDA-approved,,,CC(=O)OCC[N+](C)(C)C
FDA-approved,,,Cn1c(=O)c2[nH]cnc2n(C)c1=O
FDA-approved,,,Cn1c(=O)c2c(ncn2C)n(C)c1=O
FDA-approved,,,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O
FDA-approved,,,O=C=O
FDA-approved,,,Nc1ccc(S(N)(=O)=O)cc1
FDA-approved,,,NCc1ccc(S(N)(=O)=O)cc1
FDA-approved,,,CC(=O)Nc1nnc(S(N)(=O)=O)s1
FDA-approved,,,CC(=O)N=c1sc(S(N)(=O)=O)nn1C
FDA-approved,,,CCOc1ccc2nc(S(N)(=O)=O)sc2c1
FDA-approved,,,CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21
FDA-approved,,,NS(=O)(=O)Cc1noc2ccccc12
FDA-approved,,,C#CCN[C@@H]1CCc2ccccc21
FDA-approved,,,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F
FDA-approved,,,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O
FDA-approved,,,N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)C(N)C12CC3CC(CC(O)(C3)C1)C2
FDA-approved,,,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1
FDA-approved,,,CC(C)(C)NC(=O)NC(C(=O)N1C[C@H]2C(C1C(=O)NC(CC1CCC1)C(=O)C(N)=O)C2(C)C)C(C)(C)C
FDA-approved,,,O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O
FDA-approved,,,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1
FDA-approved,,,Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1
FDA-approved,,,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl
FDA-approved,,,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
FDA-approved,,,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
FDA-approved,,,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
FDA-approved,,,C[C@]12CCC(=O)CC1=CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
FDA-approved,,,COC(=O)NC(C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)C(NC(=O)OC)C(C)(C)C)C(C)(C)C
FDA-approved,,,Clc1cccc(Cl)c1NC1=NCCN1
FDA-approved,,,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12
FDA-approved,,,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
FDA-approved,,,CC(=O)C(C#N)C(=O)Nc1ccc(C(F)(F)F)cc1
FDA-approved,,,O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1
FDA-approved,,,CN1CC(=O)N2C(Cc3c([nH]c4ccccc34)[C@H]2c2ccc3c(c2)OCO3)C1=O
FDA-approved,,,Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1
FDA-approved,,,C#CCN(C)[C@H](C)Cc1ccccc1
FDA-approved,,,N=C(N)NC(=O)c1nc(Cl)c(N)nc1N
FDA-approved,,,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O
FDA-approved,,,Oc1c(C2=CCC(c3ccc(Cl)cc3)CC2)c(O)c2ccccc2c1O
FDA-approved,,,OCc1ccccc1
FDA-approved,,,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1
FDA-approved,,,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O
FDA-approved,,,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O
FDA-approved,,,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
FDA-approved,,,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)CC(C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC
FDA-approved,,,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1
FDA-approved,,,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
FDA-approved,,,NC(CC(=O)O)C(=O)O
FDA-approved,,,NCC(=O)O
FDA-approved,,,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
FDA-approved,,,C[C@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
FDA-approved,,,C[C@@H]1C[C@H]2[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
FDA-approved,,,COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC
FDA-approved,,,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO
FDA-approved,,,CC(C)=c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1=CC[C@@H](O)C[C@@H](O)CC(=O)O
FDA-approved,,,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21
FDA-approved,,,COCc1c(-c2ccc(F)cc2)c(=CC[C@@H](O)C[C@@H](O)CC(=O)O)c(C(C)C)nc1=C(C)C
FDA-approved,,,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1
FDA-approved,,,CC#C[C@]1(O)CC[C@H]2C3=C(C4=C(CC3)CC(=O)CC4)C(c3ccc(N(C)C)cc3)C[C@@]21C
FDA-approved,,,Nc1nc(=O)c2c(CCc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)c[nH]c2[nH]1
FDA-approved,,,NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O
FDA-approved,,,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1
FDA-approved,,,COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1
FDA-approved,,,O=C(CCCCCCC(O)=NO)Nc1ccccc1
FDA-approved,,,CCC1=NC(=O)C2CSSCC/C=C/[C@H](CC(=O)NC(C(C)C)C(=O)N2)OC(=O)C(C(C)C)NC1=O
FDA-approved,,,CC(NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O
