"type","hit_rate (%)","num_not_hit","num_hit","substructure","95% CI","new column"
,5.88235294117647,16,1,"[#16]1:[#7]:[#6]:[#6]:[#6]:1","1.38%-27.29%","[#16]1:[#7]:[#6]:[#6]:[#6]:1"
,1.9498607242339834,352,7,"[#6]1:[#7]:[#6]:[#6]2:[#6]:[#6]:[#6]:[#7]:[#6]:2:[#7]:1","0.96%-3.97%","[#6]1:[#7]:[#6]:[#6]2:[#6]:[#6]:[#6]:[#7]:[#6]:2:[#7]:1"
,1.5625,63,1,"[#6]1:[#6]:[#6]:[#6]2:[#6]:[#6]:[#6]:[#7]:[#6]:2:[#7]:1","0.37%-8.28%","[#6]1:[#6]:[#6]:[#6]2:[#6]:[#6]:[#6]:[#7]:[#6]:2:[#7]:1"
,0.8804539229113676,10132,90,"[#7]1:[#6]:[#6]:[#6]:[#7]:[#6]:1","0.72%-1.08%","[#7]1:[#6]:[#6]:[#6]:[#7]:[#6]:1"
,0.5780346820809248,172,1,"[#6]1:[#6]:[#6]:[#6]2:[#6]:[#7]:[#7]:[#6]:2:[#6]:1","0.14%-3.16%","[#6]1:[#6]:[#6]:[#6]2:[#6]:[#7]:[#7]:[#6]:2:[#6]:1"
,0.5028841887294778,6727,34,"[#16]1:[#6]:[#7]:[#6]:[#6]:1","0.36%-0.7%","[#16]1:[#6]:[#7]:[#6]:[#6]:1"
,0.47287899860917937,3578,17,"[#6]1:[#6]:[#6]:[#6]2:[#6]:[#6]:[#6]:[#7]:[#6]:2:[#6]:1","0.3%-0.76%","[#6]1:[#6]:[#6]:[#6]2:[#6]:[#6]:[#6]:[#7]:[#6]:2:[#6]:1"
,0.4549590536851683,1094,5,"[#7]1:[#6]:[#7]:[#7]:[#7]:1","0.2%-1.06%","[#7]1:[#6]:[#7]:[#7]:[#7]:1"
,0.45417010734929814,2411,11,"[#6]1:[#6]:[#6]:[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2:[#6]:1","0.26%-0.81%","[#6]1:[#6]:[#6]:[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2:[#6]:1"
,0.4444444444444444,448,2,"[#6]1:[#6]:[#6]:[#6]2:[#6]:[#6]:[#7]:[#6]:[#6]:2:[#6]:1","0.14%-1.59%","[#6]1:[#6]:[#6]:[#6]2:[#6]:[#6]:[#7]:[#6]:[#6]:2:[#6]:1"
,0.4210911753936287,10878,46,"[#7]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","0.32%-0.56%","[#7]1:[#6]:[#6]:[#6]:[#6]:[#6]:1"
,0.404244567963618,1971,8,"[#6]1:[#6]:[#6]:[#6]2:[#7]:[#6]:[#7]:[#6]:2:[#6]:1","0.21%-0.79%","[#6]1:[#6]:[#6]:[#6]2:[#7]:[#6]:[#7]:[#6]:2:[#6]:1"
,0.39929015084294583,4490,18,"[#6]1:[#6]:[#7]:[#6]:[#7]:1","0.25%-0.63%","[#6]1:[#6]:[#7]:[#6]:[#7]:1"
"All",0.38719116144736343,78982,307,,"0.35%-0.43%",
,0.3849114703618168,1294,5,"[#6]1:[#8]:[#7]:[#6]:[#6]:1","0.17%-0.9%","[#6]1:[#8]:[#7]:[#6]:[#6]:1"
,0.3845539706195444,74863,289,"[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1","0.34%-0.43%","[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1"
,0.36716111029519755,6784,25,"[#6]1-[#6]-[#7]-[#6]-[#6]-[#7]-1","0.25%-0.54%","[#6]1-[#6]-[#7]-[#6]-[#6]-[#7]-1"
,0.3645200486026731,820,3,"[#7]1:[#6]:[#6]:[#7]:[#6]:[#6]:1","0.13%-1.06%","[#7]1:[#6]:[#6]:[#7]:[#6]:[#6]:1"
,0.35842293906810035,556,2,"[#6]1:[#6]:[#7]:[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2:[#7]:1","0.11%-1.29%","[#6]1:[#6]:[#7]:[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2:[#7]:1"
,0.2921129503407984,1024,3,"[#8]1:[#6]:[#7]:[#7]:[#6]:1","0.11%-0.85%","[#8]1:[#6]:[#7]:[#7]:[#6]:1"
,0.27345752862758504,5835,16,"[#6]1-[#6]-[#6]-[#6]-[#6]-[#7]-1","0.17%-0.44%","[#6]1-[#6]-[#6]-[#6]-[#6]-[#7]-1"
,0.2720234358652438,4766,13,"[#6]1-[#6]-[#8]-[#6]-[#6]-[#7]-1","0.16%-0.46%","[#6]1-[#6]-[#8]-[#6]-[#6]-[#7]-1"
,0.23201856148491878,1290,3,"[#16]1:[#6]:[#7]:[#7]:[#6]:1","0.08%-0.68%","[#16]1:[#6]:[#7]:[#7]:[#6]:1"
,0.23020257826887663,4334,10,"[#7]1:[#6]:[#6]:[#6]:[#7]:1","0.13%-0.42%","[#7]1:[#6]:[#6]:[#6]:[#7]:1"
,0.21929824561403508,910,2,"[#7]1:[#6]:[#7]:[#6]2:[#7]:[#6]:[#7]:[#6]:2:[#6]:1","0.07%-0.79%","[#7]1:[#6]:[#7]:[#6]2:[#7]:[#6]:[#7]:[#6]:2:[#6]:1"
,0.1841620626151013,3252,6,"[#6]1-[#6]-[#6]-[#6]-[#7]-1","0.09%-0.4%","[#6]1-[#6]-[#6]-[#6]-[#7]-1"
,0.17614494212380472,3967,7,"[#7]1:[#6]:[#7]:[#6]:[#7]:1","0.09%-0.36%","[#7]1:[#6]:[#7]:[#6]:[#7]:1"
,0.13850415512465375,2163,3,"[#7]1:[#6]:[#6]:[#6]:[#6]:[#7]:1","0.05%-0.4%","[#7]1:[#6]:[#6]:[#6]:[#6]:[#7]:1"
