CpdID,type,SMILES,UMAP1,UMAP2,id,UMAP1-opt,UMAP2-opt,QED
screening1_5,internal,CCC(=O)Nc1ccc(C(=O)COC(=O)c2ccc3ncsc3c2)cc1,5.423223019,0.244497567,0,13.548877,6.450179,0.529765695
screening1_8,internal,CN1CCN(Cc2cc(Br)c3cccnc3c2O)CC1,0.715058208,-0.17438595,1,11.990898,-4.0897746,0.91454587
5FDQD,R-BIND2,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CCC(C)c3ccc(F)cc3)c2cc1C,2.935603619,-1.603736162,302,8.238391,14.853855,0.538901319
Ribocil-B,R-BIND2,CNc1ncc(CN2CCC[C@H](c3nc(-c4cccs4)cc(=O)[nH]3)C2)cn1,2.422441006,-0.411161333,303,10.177631,11.943161,0.705545992
Ribocil-C,R-BIND2,O=c1cc(-c2cccs2)[nH]c([C@H]2CCCN(Cc3cn(-c4ncccn4)cn3)C2)n1,2.501286507,-0.226438642,304,1.2721381,10.366504,0.534742446
Roseoflavin,R-BIND2,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1N(C)C,3.459713936,-2.165252924,305,1.4217774,1.3154995,0.292630702
"2,6-Diaminopurine",R-BIND2,Nc1nc(N)c2[nH]cnc2n1,3.953357458,3.521888494,306,21.71193,-4.9518642,0.469730964
Pyrithiamine,R-BIND2,Cc1ncc(C[n+]2cccc(CCO)c2C)c(N)n1,1.415003538,1.256344199,307,9.787018,-11.824053,0.786063488
2-Amino-N6-Hydroxyadenine,R-BIND2,Nc1nc(=NO)c2[nH]cnc2[nH]1,3.956223249,3.650357246,308,21.990791,-5.373891,0.3012578
PC1,R-BIND2,Nc1nc(=O)c(N)c(N)[nH]1,5.489681244,2.949071169,309,22.331923,-5.4777775,0.350338787
Chelerythrine,R-BIND2,COc1ccc2c(c[n+](C)c3c4cc5c(cc4ccc23)OCO5)c1OC,1.213297129,-0.296745449,310,14.824393,18.101593,0.408940527
Dequalinium,R-BIND2,Cc1cc(N)c2ccccc2[n+]1CCCCCCCCCC[n+]1c(C)cc(N)c2ccccc21,0.817917287,0.653373659,311,17.905628,16.81896,0.20936733
Harmane,R-BIND2,Cc1nccc2c1[nH]c1ccccc12,4.143802166,2.847087383,312,27.34864,9.78459,0.568427007
Harmine,R-BIND2,COc1ccc2c(c1)[nH]c1c(C)nccc12,5.417327404,2.103317976,313,27.016842,9.365651,0.672864251
Proflavine,R-BIND2,Nc1ccc2cc3ccc(N)cc3nc2c1,3.972225189,3.189581394,314,27.351833,8.789782,0.441447263
Staurosporine,R-BIND2,CN[C@H]1CC2OC(C)([C@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,2.767722368,-1.639638901,315,0.29649052,18.900835,0.405842479
Pentamidine,R-BIND2,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,3.59510231,3.010782957,316,4.037031,-1.0562378,0.301957822
Methylquinolinium 15,R-BIND2,C[n+]1c(C=Cc2cc3ccccc3[nH]2)ccc2ccccc21,0.65129441,1.249447346,317,21.5909,13.687467,0.529326943
Methylquinolinium 16,R-BIND2,CCn1c2ccccc2c2cc(/C=C/c3ccc4ccccc4[n+]3C)ccc21,0.622932971,1.151349306,318,16.393345,16.975826,0.349620995
Methylquinolinium 22,R-BIND2,CN1CCN(c2cc(/C=C/c3ccc(N4CCOCC4)cc3)[n+](C)c3ccccc23)CC1,0.740021169,0.411396146,319,12.000633,17.35152,0.593016755
Methylquinolinium 23,R-BIND2,CN1CCN(c2cc(C=Cc3cc4ccccc4[nH]3)[n+](C)c3ccccc23)CC1,0.641642869,0.646467626,320,16.836056,17.21699,0.539959485
Methylquinolinium 24,R-BIND2,CCn1c2ccccc2c2cc(/C=C/c3cc(N4CCN(C)CC4)c4ccccc4[n+]3C)ccc21,0.675199151,0.635952115,321,2.9788182,20.138683,0.318419313
Compound 1,R-BIND2,Nc1ccc(-c2cc3ccc(C4=NCCN4)cc3[nH]2)cc1,2.335523844,2.143873453,322,21.761578,10.560629,0.630038436
Compound 2,R-BIND2,N=C(N)c1ccc(Nc2ccc(-c3cc4ccc(C(=N)N)cc4[nH]3)cc2)cc1,3.724386215,3.318718672,323,-1.1134062,15.168624,0.233846353
Compound 4,R-BIND2,C[n+]1ccc(Nc2ccc(NC(=O)c3ccc(Nc4cc[n+](C)c5ccc(N)cc45)cc3)cc2)cc1,3.510629892,2.490247726,324,-4.4787006,17.518322,0.209258942
RGB-1,R-BIND2,O=c1c2c(-c3ccco3)csc2nc2n1Cc1nc3scc(-c4ccco4)c3c(=O)n1C2,2.852064371,-0.653088927,325,-6.4550414,15.118445,0.384430681
Benzimidazole 1 (2014),R-BIND2,CN1CCN(c2ccc3[nH]c(-c4cc(C(C)(C)C)c(OCCCC(=O)NCCCN=[N+]=[N-])c(C(C)(C)C)c4)nc3c2)CC1,1.678189993,-0.898521066,326,-9.429645,2.5014682,0.113792743
D6,R-BIND2,N=C(N)Nc1ccc(C(=O)Oc2ccc(N=C(N)N)cc2)cc1,4.445649624,3.220550537,327,4.663608,-2.303617,0.246629344
Hydroxyellipticine 1a,R-BIND2,Cc1c2cc[n+](CCN3CCCCC3)cc2c(C)c2c1[nH]c1ccc(O)cc12,0.826285839,0.017455881,328,17.494608,17.79461,0.515988852
